Age,Gender,Education Level,Job Title,Years of Experience,Salary
30,Female,PhD,Logistics Coordinator,9,94500
41,Male,High School,Scrum Master,14,113000
34,Male,PhD,Senior Financial Analyst,12,175500
25,Male,Bachelor's,Financial Analyst,5,81500
24,Male,Bachelor's,Junior Developer,2,47500
27,Female,Bachelor's,Civil Engineer,5,92500
22,Male,Bachelor's,CTO,0,256000
27,Female,Master's,CFO,4,286500
23,Male,PhD,Civil Engineer,2,121500
26,Female,Bachelor's,Data Analyst,1,68000
22,Female,Bachelor's,Data Engineer,0,93500
27,Male,Master's,Project Manager,3,97000
25,Male,Master's,UI Designer,0,98000
22,Male,Master's,HR Specialist,0,63500
25,Male,Master's,Senior Data Analyst,2,110500
30,Male,Master's,Accountant,7,94500
36,Male,Master's,Operations Manager,10,147000
27,Male,Bachelor's,Logistics Coordinator,3,56500
38,Male,Bachelor's,CEO,16,391000
22,Male,Bachelor's,Research Scientist,0,101500
31,Female,Master's,Senior Software Engineer,7,180000
27,Female,PhD,Biomedical Engineer,5,136500
29,Male,Bachelor's,Manager,11,113500
25,Male,Bachelor's,Operations Manager,2,99000
26,Female,Master's,Account Executive,3,80500
24,Male,Bachelor's,Director of Engineering,0,187500
38,Male,Bachelor's,COO,16,333000
27,Female,PhD,Biomedical Engineer,1,129500
29,Male,Master's,Junior Developer,3,74500
34,Male,High School,Frontend Developer,12,87500
31,Male,Bachelor's,Brand Manager,7,103000
23,Female,Master's,Scrum Master,1,122000
25,Female,Bachelor's,Project Manager,2,94500
25,Female,Master's,Intern,5,53500
37,Female,PhD,Chemical Engineer,16,194000
39,Male,Master's,HR Specialist,15,101500
25,Female,High School,Accountant,1,52500
34,Female,Bachelor's,HR Specialist,7,70500
30,Male,Bachelor's,Product Manager,8,129500
38,Female,Master's,Business Analyst,13,136000
27,Male,Bachelor's,Backend Developer,2,89500
27,Male,Master's,Digital Marketing Specialist,4,93000
26,Female,Master's,Machine Learning Engineer,2,144000
44,Female,PhD,Senior Product Manager,21,356500
26,Male,PhD,UI Designer,3,122500
26,Female,Master's,Financial Analyst,2,83000
29,Female,Master's,Sales Representative,5,65500
29,Male,Bachelor's,Senior Financial Analyst,5,116000
28,Male,Master's,Business Development Manager,3,118500
42,Female,Master's,HR Specialist,17,131500
32,Female,Master's,Mechanical Engineer,8,125500
23,Male,Bachelor's,Investment Banker,0,130500
25,Female,Bachelor's,Senior Accountant,2,86000
27,Female,Master's,CEO,3,337500
34,Female,Bachelor's,CFO,6,314000
45,Female,Master's,Director,26,342500
26,Female,Bachelor's,Senior Product Manager,4,184500
29,Female,Bachelor's,Senior Manager,2,121000
45,Male,Bachelor's,UX Designer,21,158500
27,Male,Bachelor's,Senior Financial Analyst,1,93500
23,Male,Bachelor's,Manager,0,90500
27,Female,Bachelor's,Marketing Manager,4,83000
30,Female,Master's,Investment Banker,7,185000
35,Male,Bachelor's,Senior Manager,13,165000
25,Female,Master's,Accountant,0,71500
35,Female,Bachelor's,Accountant,7,64500
45,Female,Bachelor's,Operations Manager,22,161500
22,Male,Master's,Data Engineer,0,131500
30,Female,Master's,Senior Data Scientist,6,200500
26,Male,Bachelor's,Financial Analyst,1,77500
25,Male,Bachelor's,Director of Engineering,3,191000
29,Male,Bachelor's,Account Executive,7,92000
24,Male,Bachelor's,Sales Manager,4,96500
45,Male,High School,Scrum Master,22,136000
26,Female,Master's,Content Strategist,4,83500
28,Male,Master's,Machine Learning Engineer,5,162000
65,Female,PhD,CFO,38,744000
36,Female,Master's,Civil Engineer,12,131000
23,Male,Bachelor's,Electrical Engineer,3,98000
38,Female,Master's,Data Engineer,14,182000
27,Female,Bachelor's,Mechanical Engineer,8,102500
22,Male,Bachelor's,Logistics Coordinator,2,54000
34,Female,Bachelor's,VP of Engineering,9,273000
23,Male,Master's,Logistics Coordinator,1,52500
24,Female,Bachelor's,Senior Accountant,4,95000
42,Female,PhD,Product Manager,17,219000
23,Female,Bachelor's,Manager,1,91500
45,Male,PhD,Investment Banker,22,297500
22,Female,Bachelor's,Accountant,1,69000
26,Female,Bachelor's,Intern,3,37000
33,Male,Bachelor's,Senior Product Manager,11,207500
45,Male,Master's,Electrical Engineer,20,195000
40,Female,PhD,Senior Software Engineer,14,233500
30,Male,Bachelor's,Account Executive,6,84000
24,Male,Master's,Digital Marketing Specialist,4,74500
38,Male,Master's,Chemical Engineer,11,142000
22,Female,Master's,Operations Manager,1,109000
27,Male,Master's,CTO,1,324500
34,Male,Bachelor's,Content Strategist,7,78000
31,Female,Master's,Junior Developer,5,73000
25,Male,Bachelor's,Manager,0,87500
22,Male,Bachelor's,Senior Software Engineer,1,137000
29,Male,PhD,Digital Marketing Specialist,2,84000
36,Female,Master's,Intern,13,69000
46,Female,Bachelor's,Intern,27,73500
22,Male,Bachelor's,Research Scientist,0,108500
26,Male,PhD,VP,4,287000
23,Male,High School,Senior Manager,1,87500
26,Female,Bachelor's,Financial Analyst,4,75000
25,Female,Master's,Mobile Developer,0,109000
40,Female,Master's,Civil Engineer,17,144500
23,Female,Master's,Software Engineer,1,95000
30,Female,Master's,Senior Financial Analyst,3,121500
32,Male,Bachelor's,Mobile Developer,8,116000
24,Female,Bachelor's,Civil Engineer,4,90000
22,Male,Bachelor's,Senior Accountant,0,76500
42,Female,Bachelor's,Marketing Manager,15,129500
28,Male,Bachelor's,Data Scientist,0,107000
22,Female,Bachelor's,Data Engineer,0,95000
27,Female,Bachelor's,Marketing Manager,3,89000
23,Male,Bachelor's,Business Development Manager,1,95000
22,Female,Bachelor's,Frontend Developer,1,87000
25,Female,Bachelor's,Recruiter,3,67500
46,Female,Master's,VP,18,385500
23,Male,Master's,CTO,1,256000
22,Female,Bachelor's,Business Development Manager,0,100500
26,Female,Bachelor's,Operations Manager,4,103000
22,Female,Bachelor's,VP of Engineering,0,210500
25,Male,Master's,Operations Manager,6,121500
36,Male,PhD,Sales Manager,12,173500
35,Male,High School,Backend Developer,9,91000
24,Male,Master's,Data Engineer,1,125500
30,Male,Master's,Machine Learning Engineer,5,156000
26,Female,Master's,Senior Accountant,4,91000
28,Male,Master's,Supply Chain Manager,4,116500
38,Female,Bachelor's,Director,16,238500
26,Male,Master's,Data Analyst,2,79500
38,Male,Bachelor's,Brand Manager,15,133500
33,Male,Bachelor's,Business Development Manager,9,120500
28,Male,Master's,Cloud Architect,2,165000
33,Male,Bachelor's,Machine Learning Engineer,8,161000
23,Female,Bachelor's,CTO,2,247500
28,Female,Bachelor's,Cloud Architect,3,148500
27,Female,Bachelor's,Backend Developer,4,97000
29,Male,PhD,Intern,5,61000
27,Male,Bachelor's,Data Engineer,6,144000
40,Female,PhD,Brand Manager,18,185500
29,Female,Master's,Financial Analyst,0,88000
23,Male,High School,Financial Analyst,2,54500
28,Female,PhD,Senior Accountant,2,109000
27,Female,Bachelor's,Senior Product Manager,4,162000
43,Female,Bachelor's,Senior Data Analyst,17,125000
30,Female,High School,Senior Financial Analyst,7,87500
26,Male,PhD,Content Strategist,4,96500
37,Male,Bachelor's,Investment Banker,15,190500
31,Male,Bachelor's,Mechanical Engineer,5,78500
28,Male,Bachelor's,Content Strategist,5,71000
28,Male,PhD,Brand Manager,3,115000
26,Male,High School,Intern,1,34500
25,Male,Bachelor's,Software Engineer,1,87000
24,Male,Master's,Data Scientist,1,119000
39,Female,Master's,Mobile Developer,12,132500
39,Female,Bachelor's,Financial Analyst,15,100000
32,Female,PhD,Intern,11,67000
23,Male,Bachelor's,Senior Software Engineer,2,144000
27,Male,Bachelor's,Sales Manager,2,96000
30,Male,Bachelor's,Account Executive,5,88500
28,Male,Bachelor's,Senior Accountant,7,98000
32,Male,Master's,Brand Manager,8,140000
23,Female,Bachelor's,Graphic Designer,0,45000
23,Male,Bachelor's,Backend Developer,1,82500
36,Female,Bachelor's,Digital Marketing Specialist,7,71000
30,Female,Bachelor's,Senior Product Manager,10,182000
23,Male,Bachelor's,COO,0,238500
29,Male,Master's,Recruiter,6,86000
28,Female,Bachelor's,Accountant,4,60000
36,Male,Master's,Scrum Master,13,179500
28,Male,Bachelor's,DevOps Engineer,3,123000
25,Male,High School,Senior Accountant,0,61500
30,Male,Master's,Director of Engineering,8,242500
32,Female,Master's,Product Manager,7,172000
42,Female,PhD,Product Manager,16,248500
22,Male,Master's,UI Designer,0,109000
32,Female,Bachelor's,Senior Data Analyst,9,117000
32,Male,Master's,Junior Developer,9,77000
32,Female,Master's,Junior Developer,7,65500
24,Female,PhD,Mechanical Engineer,5,118500
31,Male,Master's,Logistics Coordinator,5,76500
35,Female,Bachelor's,Business Development Manager,14,118000
26,Female,High School,HR Manager,1,64000
29,Male,High School,Junior Developer,0,39500
24,Male,Bachelor's,Biomedical Engineer,0,75000
29,Female,High School,Software Engineer,4,75000
25,Female,Bachelor's,Project Manager,2,85500
36,Female,PhD,Senior Data Scientist,11,225500
29,Female,PhD,Logistics Coordinator,6,85500
24,Female,Master's,Data Engineer,1,123500
37,Male,PhD,UI Designer,12,162000
26,Male,Bachelor's,Investment Banker,6,159500
62,Female,Bachelor's,HR Specialist,39,138500
22,Female,Master's,Full Stack Developer,0,99500
25,Female,Bachelor's,Junior Developer,0,51500
26,Male,Bachelor's,Frontend Developer,2,82000
39,Female,Bachelor's,Operations Manager,15,147000
33,Female,Bachelor's,CTO,7,301500
36,Female,Bachelor's,Business Development Manager,14,137000
23,Male,Bachelor's,Chemical Engineer,1,91500
26,Male,PhD,Machine Learning Engineer,4,185000
27,Male,High School,Logistics Coordinator,5,52000
24,Female,High School,Senior Software Engineer,2,104000
34,Female,High School,HR Manager,11,82500
33,Female,Bachelor's,Senior Data Analyst,12,124000
25,Male,Master's,Operations Manager,1,105500
28,Female,Bachelor's,Senior Product Manager,0,137500
23,Male,Bachelor's,CEO,0,302000
23,Male,Bachelor's,Account Executive,0,64000
39,Male,Bachelor's,Senior Data Scientist,13,198000
33,Female,Master's,Frontend Developer,10,124500
24,Male,PhD,Data Scientist,0,137500
29,Male,PhD,Operations Manager,9,153500
33,Female,Master's,Senior Manager,9,167000
25,Female,Bachelor's,Accountant,4,69000
28,Male,High School,Senior Accountant,1,54500
25,Male,Master's,Senior Data Analyst,2,103000
30,Female,Bachelor's,Sales Manager,6,97000
32,Male,Bachelor's,Chemical Engineer,7,93000
28,Male,PhD,Data Engineer,1,143000
34,Female,PhD,Project Manager,8,154500
31,Female,PhD,Intern,9,69500
22,Male,Bachelor's,Backend Developer,0,84500
43,Female,Master's,Business Development Manager,19,176500
33,Male,High School,UI Designer,12,81500
32,Male,Bachelor's,Supply Chain Manager,8,113500
43,Male,High School,Data Scientist,19,127000
30,Female,Master's,VP of Engineering,8,325000
41,Male,High School,Junior Developer,15,64500
28,Male,Master's,Marketing Manager,5,112500
24,Female,Bachelor's,COO,1,234500
26,Female,Bachelor's,Director,1,167500
32,Female,Bachelor's,CTO,8,310000
26,Male,Master's,Cloud Architect,0,158000
24,Female,Master's,Sales Representative,3,58500
34,Female,High School,Business Analyst,14,95000
37,Female,Bachelor's,CFO,14,364000
42,Male,Bachelor's,Graphic Designer,17,80000
24,Male,Master's,UX Designer,0,98500
48,Female,Bachelor's,Investment Banker,24,234500
39,Male,Bachelor's,Mechanical Engineer,14,98000
25,Female,Bachelor's,Senior Accountant,1,82500
25,Male,Master's,Senior Software Engineer,2,155000
22,Male,Bachelor's,Mechanical Engineer,1,86500
29,Male,Bachelor's,Sales Manager,2,102000
31,Female,Bachelor's,COO,6,226000
28,Male,Master's,Director of Engineering,4,231500
53,Male,High School,Junior Developer,30,82500
25,Male,Master's,Marketing Manager,1,91500
24,Female,Bachelor's,Backend Developer,4,100500
27,Female,Bachelor's,Research Scientist,5,127500
26,Male,Master's,Financial Analyst,1,80500
25,Female,Bachelor's,Director,0,144500
25,Female,Master's,Civil Engineer,0,93000
28,Male,Master's,Mobile Developer,6,117500
27,Male,PhD,Data Analyst,3,100000
34,Male,Master's,Full Stack Developer,14,148000
33,Male,Master's,Supply Chain Manager,10,153500
26,Male,Bachelor's,Frontend Developer,5,83000
26,Male,Bachelor's,Financial Analyst,4,74500
32,Female,High School,Biomedical Engineer,6,94500
32,Male,Bachelor's,Electrical Engineer,13,148500
29,Male,Bachelor's,CFO,3,221500
35,Female,Master's,Biomedical Engineer,10,148500
24,Male,High School,Junior Developer,1,44000
41,Male,High School,Frontend Developer,19,104500
31,Female,Bachelor's,Senior Data Scientist,7,177000
32,Female,High School,Data Engineer,8,107000
24,Male,Bachelor's,Marketing Manager,0,82000
33,Male,Bachelor's,Sales Representative,11,68500
29,Male,Bachelor's,COO,5,299000
30,Male,Master's,Content Strategist,7,84000
27,Female,Master's,Graphic Designer,5,70500
32,Male,Master's,Accountant,7,92500
26,Male,Bachelor's,Cloud Architect,1,136000
22,Male,Bachelor's,Business Development Manager,1,93000
24,Female,Master's,Senior Data Analyst,2,115000
28,Female,Bachelor's,Senior Accountant,6,109500
58,Male,Master's,Logistics Coordinator,33,147500
22,Male,High School,Logistics Coordinator,0,39500
29,Male,High School,UI Designer,5,65500
26,Female,Master's,Supply Chain Manager,5,111500
34,Female,PhD,Data Analyst,7,112500
27,Female,High School,Sales Manager,5,88500
26,Female,High School,Product Manager,4,109000
40,Female,Master's,Backend Developer,18,147500
44,Female,PhD,UX Designer,18,182000
22,Female,Master's,Financial Analyst,0,87000
30,Female,Master's,Product Manager,8,150500
27,Female,PhD,Financial Analyst,5,101500
28,Female,Master's,Investment Banker,5,191000
24,Female,Master's,Senior Financial Analyst,1,125500
33,Female,Master's,Accountant,11,105000
22,Male,Bachelor's,DevOps Engineer,1,113000
35,Female,Master's,Business Analyst,12,124000
22,Female,Master's,Electrical Engineer,1,108000
24,Male,Bachelor's,Senior Accountant,0,83000
22,Female,Bachelor's,Account Executive,2,76500
28,Male,Master's,Intern,1,50500
32,Male,High School,Scrum Master,10,97000
30,Female,High School,Frontend Developer,8,80000
24,Female,High School,Product Manager,4,106500
24,Female,Bachelor's,CEO,3,304500
37,Male,Bachelor's,Senior Data Analyst,12,134500
27,Female,Bachelor's,Director,3,181500
31,Female,Bachelor's,Investment Banker,6,152000
23,Male,Bachelor's,Mechanical Engineer,0,79500
26,Female,Master's,Director of Engineering,4,208500
28,Female,Bachelor's,Senior Data Scientist,9,172000
32,Male,Bachelor's,CEO,10,405500
25,Female,Bachelor's,Software Engineer,2,97000
41,Male,Master's,Frontend Developer,15,159500
25,Male,Bachelor's,Intern,1,44000
23,Female,High School,Operations Manager,0,73000
43,Male,High School,Accountant,21,91000
31,Female,Bachelor's,Electrical Engineer,10,123500
29,Female,High School,Research Scientist,7,111000
49,Male,High School,Supply Chain Manager,24,122500
25,Male,Bachelor's,Senior Accountant,1,77500
27,Male,Master's,Mobile Developer,5,125500
31,Female,Master's,UX Designer,6,122000
23,Female,Bachelor's,Intern,2,35000
43,Female,Master's,Intern,20,74500
32,Male,PhD,Account Executive,7,113000
42,Male,Master's,Director,17,266000
34,Female,Master's,Financial Analyst,9,121000
52,Female,Bachelor's,Frontend Developer,29,160000
27,Female,Master's,Cybersecurity Analyst,1,116000
26,Female,Bachelor's,Full Stack Developer,6,109500
40,Male,Master's,Scrum Master,14,165500
25,Female,Bachelor's,Civil Engineer,0,73000
25,Female,High School,Software Engineer,3,78000
28,Male,Master's,Cloud Architect,6,178000
22,Male,Bachelor's,Full Stack Developer,0,94000
25,Male,Bachelor's,HR Manager,2,78500
30,Male,PhD,VP,3,261000
30,Female,Bachelor's,Accountant,3,63000
25,Female,Master's,Financial Analyst,3,110500
33,Male,High School,Mobile Developer,6,93000
28,Female,Bachelor's,Accountant,6,74500
53,Male,Master's,Accountant,28,135500
22,Female,Bachelor's,Scrum Master,0,95000
30,Male,Bachelor's,CEO,9,416000
26,Female,Master's,Senior Data Scientist,0,156000
29,Male,Bachelor's,Frontend Developer,6,89000
22,Male,High School,VP of Engineering,0,168500
42,Male,Bachelor's,Senior Product Manager,19,214500
24,Male,Master's,CTO,1,321500
23,Female,Bachelor's,Machine Learning Engineer,0,129500
34,Female,Master's,Software Engineer,10,125000
30,Male,Master's,Intern,7,55000
38,Male,Bachelor's,Content Strategist,16,90500
33,Male,Bachelor's,COO,10,281500
40,Male,High School,VP,16,207000
40,Male,Bachelor's,Business Development Manager,16,153500
28,Male,High School,Senior Data Analyst,3,74500
31,Male,Bachelor's,Senior Manager,7,124000
28,Male,PhD,Scrum Master,6,144000
26,Male,Bachelor's,VP of Engineering,2,231000
36,Female,Bachelor's,Senior Product Manager,13,213000
22,Male,Bachelor's,Senior Financial Analyst,0,75500
36,Male,PhD,Financial Analyst,13,161500
29,Male,Master's,Chemical Engineer,5,112000
22,Male,Bachelor's,Intern,0,39500
26,Male,Bachelor's,Senior Data Analyst,2,107500
37,Female,Master's,VP,14,328000
35,Female,PhD,UI Designer,10,141500
26,Female,Bachelor's,Business Development Manager,0,98500
47,Male,Master's,VP of Engineering,23,383000
32,Female,Master's,Accountant,6,89000
29,Male,PhD,Civil Engineer,5,116500
36,Female,Bachelor's,Backend Developer,13,128000
23,Female,Bachelor's,UX Designer,1,87500
24,Female,Master's,Senior Data Scientist,0,162000
24,Male,PhD,Electrical Engineer,3,135000
25,Female,Bachelor's,Supply Chain Manager,1,89500
39,Female,Master's,Business Development Manager,15,166500
41,Male,Bachelor's,Content Strategist,17,96000
28,Male,PhD,Manager,7,126500
28,Male,Master's,Senior Financial Analyst,5,129000
27,Female,Master's,Marketing Manager,3,107500
31,Female,Master's,Project Manager,4,118500
25,Male,Master's,Biomedical Engineer,2,106000
26,Female,Master's,VP,1,214000
22,Female,Bachelor's,Civil Engineer,0,86000
25,Female,PhD,CEO,1,411500
22,Male,High School,Data Analyst,1,48500
26,Female,Bachelor's,Mobile Developer,0,83000
27,Female,High School,Junior Developer,3,43500
34,Male,Master's,Electrical Engineer,8,152000
28,Male,Bachelor's,Intern,7,46500
26,Male,High School,CFO,2,189000
25,Male,Master's,CEO,0,310000
37,Female,High School,UI Designer,14,98000
32,Male,PhD,Senior Financial Analyst,6,156500
26,Female,Bachelor's,Chemical Engineer,2,100000
28,Male,Bachelor's,Financial Analyst,1,74000
35,Male,High School,DevOps Engineer,14,118500
24,Female,Bachelor's,Scrum Master,1,97500
30,Male,Master's,Manager,7,113500
25,Male,PhD,Backend Developer,2,107500
27,Male,Bachelor's,UI Designer,3,83500
25,Female,Bachelor's,Digital Marketing Specialist,4,54000
32,Female,Bachelor's,HR Specialist,4,59500
27,Male,High School,Supply Chain Manager,1,70000
25,Female,Bachelor's,Director of Engineering,2,179000
24,Male,Master's,Operations Manager,0,90000
30,Male,Bachelor's,UI Designer,8,89500
41,Male,Bachelor's,Biomedical Engineer,16,152000
44,Male,Master's,Chemical Engineer,21,176000
28,Male,High School,Mechanical Engineer,6,81500
26,Male,Bachelor's,Sales Manager,3,92500
25,Male,High School,Business Analyst,0,55500
39,Male,Master's,Brand Manager,15,180000
25,Female,Bachelor's,CTO,1,229500
36,Female,Bachelor's,CFO,12,370000
26,Male,High School,Research Scientist,3,83000
26,Male,High School,Accountant,3,57000
34,Male,Bachelor's,Mechanical Engineer,13,123000
29,Male,Bachelor's,Account Executive,6,86000
26,Female,High School,Frontend Developer,3,69000
24,Male,Bachelor's,Accountant,1,62500
22,Male,PhD,Software Engineer,2,125500
32,Male,Bachelor's,HR Specialist,10,75500
24,Female,Bachelor's,Machine Learning Engineer,1,121500
28,Male,Bachelor's,Senior Data Scientist,4,149000
23,Male,Bachelor's,Frontend Developer,0,78000
29,Male,High School,Graphic Designer,9,56500
46,Female,Bachelor's,Operations Manager,21,152500
48,Female,Master's,Senior Data Scientist,28,282500
28,Female,Bachelor's,Chemical Engineer,1,101500
25,Male,Master's,Senior Financial Analyst,4,120000
22,Female,High School,CTO,2,216000
27,Male,Bachelor's,Content Strategist,4,82000
40,Male,PhD,CTO,14,549000
26,Male,Bachelor's,Senior Manager,3,116500
47,Female,Bachelor's,Recruiter,23,108000
23,Male,Master's,Mechanical Engineer,0,98500
38,Female,Bachelor's,Senior Product Manager,14,215500
27,Female,Master's,Biomedical Engineer,6,118000
22,Female,Master's,Business Development Manager,3,151000
53,Male,Master's,VP of Engineering,27,448000
25,Female,Master's,Civil Engineer,4,99000
29,Male,Bachelor's,Supply Chain Manager,4,101500
33,Female,Bachelor's,Product Manager,8,151500
25,Female,Bachelor's,Graphic Designer,3,64500
22,Female,PhD,VP,0,257500
34,Male,Master's,Senior Data Analyst,12,155500
32,Female,Master's,UX Designer,7,124500
27,Male,High School,Senior Software Engineer,4,103500
27,Male,High School,Sales Manager,3,79000
41,Female,High School,Mechanical Engineer,21,115500
34,Male,Bachelor's,UX Designer,11,114000
24,Female,Bachelor's,Senior Software Engineer,2,120000
26,Male,PhD,Data Engineer,3,163500
31,Male,Bachelor's,CFO,7,292000
24,Male,Master's,CFO,0,290500
29,Female,Master's,Cloud Architect,5,216000
27,Female,Bachelor's,VP of Engineering,2,188000
29,Male,PhD,Senior Data Scientist,8,228000
30,Female,Master's,HR Manager,8,105000
35,Male,Bachelor's,Manager,10,120000
28,Male,Bachelor's,Senior Product Manager,4,163500
28,Female,Bachelor's,Brand Manager,3,90500
40,Female,Master's,Biomedical Engineer,15,157000
23,Female,PhD,Chemical Engineer,0,130500
33,Female,Master's,Business Development Manager,8,156000
42,Female,Master's,Business Development Manager,21,209000
30,Female,Master's,Financial Analyst,7,102500
24,Male,Bachelor's,Chemical Engineer,3,92500
23,Male,Bachelor's,Mobile Developer,0,93500
24,Female,Master's,Full Stack Developer,1,126000
27,Female,Bachelor's,VP,7,237000
35,Female,Master's,Accountant,9,84000
24,Female,Master's,Financial Analyst,1,91500
22,Male,High School,HR Specialist,0,44500
26,Female,High School,CFO,3,189000
28,Male,Bachelor's,Senior Accountant,5,94000
26,Male,PhD,Research Scientist,5,179500
28,Female,Master's,Content Strategist,5,87000
26,Male,High School,Data Analyst,2,61500
25,Male,Bachelor's,CEO,0,253500
24,Female,Master's,Senior Data Analyst,0,108000
26,Female,Bachelor's,Senior Accountant,3,87500
27,Male,Bachelor's,UI Designer,4,99500
45,Female,PhD,Marketing Manager,20,184500
24,Female,Bachelor's,Content Strategist,1,62500
30,Male,Master's,Marketing Manager,6,111500
29,Female,Bachelor's,UX Designer,7,93000
28,Female,Bachelor's,CEO,4,333000
22,Female,Bachelor's,VP of Engineering,0,229500
29,Male,PhD,COO,5,309000
